index, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/03/17 00:00:01.502, 24.94 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:00:01.517, 24.23 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:01:01.530, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:01:01.536, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:02:01.547, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:02:01.566, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:03:01.577, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:03:01.581, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:04:01.587, 24.95 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:04:01.596, 24.04 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:05:01.606, 24.75 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:05:01.625, 24.34 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:06:01.638, 24.76 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:06:01.641, 24.04 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:07:01.645, 24.66 W, 44, 0 %, 0 MiB
1, 2023/03/17 00:07:01.657, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:08:01.667, 24.94 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:08:01.690, 24.04 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:09:01.696, 24.84 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:09:01.716, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:10:01.726, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:10:01.739, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:11:01.748, 24.94 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:11:01.765, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:12:01.776, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:12:01.780, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:13:01.784, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:13:01.788, 24.04 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:14:01.799, 24.94 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:14:01.820, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:15:01.827, 24.95 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:15:01.842, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:16:01.850, 24.84 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:16:01.868, 24.04 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:17:01.881, 24.95 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:17:01.899, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:18:01.915, 24.84 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:18:01.937, 24.04 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:19:01.951, 24.76 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:19:01.954, 24.04 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:20:01.966, 24.94 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:20:01.983, 24.04 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:21:01.998, 24.84 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:21:02.025, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:22:02.040, 24.75 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:22:02.052, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:23:02.069, 24.66 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:23:02.077, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:24:02.095, 24.75 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:24:02.116, 24.24 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:25:02.133, 24.94 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:25:02.158, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:26:02.177, 24.85 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:26:02.181, 24.14 W, 43, 0 %, 0 MiB
0, 2023/03/17 00:27:02.194, 24.84 W, 45, 0 %, 0 MiB
1, 2023/03/17 00:27:02.213, 24.24 W, 43, 0 %, 0 MiB
