Failed to initialize NVML: Driver/library version mismatch
gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/04/24 11:36:06.597, 26.01 W, 44, 0 %, 236 MiB
1, 2023/04/24 11:36:06.616, 24.24 W, 42, 0 %, 5 MiB
0, 2023/04/24 11:37:06.622, 24.65 W, 44, 0 %, 380 MiB
1, 2023/04/24 11:37:06.646, 24.24 W, 42, 0 %, 5 MiB
0, 2023/04/24 11:38:06.652, 24.66 W, 44, 0 %, 380 MiB
1, 2023/04/24 11:38:06.667, 24.14 W, 42, 0 %, 5 MiB
0, 2023/04/24 11:39:06.673, 24.66 W, 43, 0 %, 380 MiB
1, 2023/04/24 11:39:06.689, 24.34 W, 42, 0 %, 5 MiB
0, 2023/04/24 11:40:06.694, 24.75 W, 44, 0 %, 380 MiB
1, 2023/04/24 11:40:06.718, 24.14 W, 42, 0 %, 5 MiB
0, 2023/04/24 11:41:06.747, 24.66 W, 44, 0 %, 380 MiB
1, 2023/04/24 11:41:06.758, 24.14 W, 42, 0 %, 5 MiB
0, 2023/04/24 11:42:06.785, 24.66 W, 44, 0 %, 379 MiB
1, 2023/04/24 11:42:06.789, 24.14 W, 42, 0 %, 5 MiB
0, 2023/04/24 11:43:06.812, 24.67 W, 44, 0 %, 379 MiB
1, 2023/04/24 11:43:06.815, 24.24 W, 43, 0 %, 5 MiB
0, 2023/04/24 11:44:06.835, 24.66 W, 44, 0 %, 379 MiB
1, 2023/04/24 11:44:06.842, 24.24 W, 43, 0 %, 5 MiB
0, 2023/04/24 11:45:06.848, 24.76 W, 44, 0 %, 379 MiB
1, 2023/04/24 11:45:06.852, 24.34 W, 43, 0 %, 5 MiB
0, 2023/04/24 11:46:06.879, 24.66 W, 44, 0 %, 379 MiB
1, 2023/04/24 11:46:06.882, 24.24 W, 43, 0 %, 5 MiB
0, 2023/04/24 11:47:06.906, 24.85 W, 44, 0 %, 379 MiB
1, 2023/04/24 11:47:06.911, 24.34 W, 43, 0 %, 5 MiB
0, 2023/04/24 11:48:06.915, 24.85 W, 44, 0 %, 378 MiB
1, 2023/04/24 11:48:06.918, 24.34 W, 43, 0 %, 5 MiB
0, 2023/04/24 11:49:06.941, 24.95 W, 44, 0 %, 378 MiB
1, 2023/04/24 11:49:06.958, 24.43 W, 43, 0 %, 5 MiB
0, 2023/04/24 11:50:06.986, 24.86 W, 44, 0 %, 378 MiB
1, 2023/04/24 11:50:06.989, 24.34 W, 43, 0 %, 5 MiB
0, 2023/04/24 11:51:07.004, 24.76 W, 44, 0 %, 378 MiB
1, 2023/04/24 11:51:07.012, 24.34 W, 43, 0 %, 5 MiB
0, 2023/04/24 11:52:07.034, 24.95 W, 44, 0 %, 378 MiB
1, 2023/04/24 11:52:07.037, 24.43 W, 43, 0 %, 5 MiB
0, 2023/04/24 11:53:07.048, 24.85 W, 44, 0 %, 378 MiB
1, 2023/04/24 11:53:07.052, 24.34 W, 43, 0 %, 5 MiB
0, 2023/04/24 11:54:07.076, 24.84 W, 44, 0 %, 378 MiB
1, 2023/04/24 11:54:07.099, 24.34 W, 43, 0 %, 5 MiB
0, 2023/04/24 11:55:07.126, 24.85 W, 44, 0 %, 378 MiB
1, 2023/04/24 11:55:07.132, 24.43 W, 43, 0 %, 5 MiB
0, 2023/04/24 11:56:07.136, 24.76 W, 44, 0 %, 378 MiB
1, 2023/04/24 11:56:07.139, 24.34 W, 43, 0 %, 5 MiB
0, 2023/04/24 11:57:07.161, 24.85 W, 44, 0 %, 378 MiB
1, 2023/04/24 11:57:07.174, 24.43 W, 43, 0 %, 5 MiB
0, 2023/04/24 11:58:07.179, 24.75 W, 44, 0 %, 378 MiB
1, 2023/04/24 11:58:07.198, 24.34 W, 43, 0 %, 5 MiB
0, 2023/04/24 11:59:07.203, 24.95 W, 44, 0 %, 378 MiB
1, 2023/04/24 11:59:07.207, 24.34 W, 43, 0 %, 5 MiB
0, 2023/04/24 12:00:07.226, 24.85 W, 44, 0 %, 378 MiB
1, 2023/04/24 12:00:07.229, 24.43 W, 43, 0 %, 5 MiB
0, 2023/04/24 12:01:07.252, 24.75 W, 44, 0 %, 378 MiB
1, 2023/04/24 12:01:07.271, 24.24 W, 43, 0 %, 5 MiB
0, 2023/04/24 12:02:07.277, 24.85 W, 44, 0 %, 378 MiB
1, 2023/04/24 12:02:07.280, 24.34 W, 43, 0 %, 5 MiB
0, 2023/04/24 12:03:07.284, 24.75 W, 44, 0 %, 378 MiB
1, 2023/04/24 12:03:07.309, 24.24 W, 43, 0 %, 5 MiB
0, 2023/04/24 12:04:07.315, 24.94 W, 44, 0 %, 379 MiB
1, 2023/04/24 12:04:07.343, 24.33 W, 43, 0 %, 5 MiB
0, 2023/04/24 12:05:07.349, 26.12 W, 45, 0 %, 550 MiB
1, 2023/04/24 12:05:07.352, 24.24 W, 43, 0 %, 6 MiB
0, 2023/04/24 12:06:07.357, 26.30 W, 45, 0 %, 550 MiB
1, 2023/04/24 12:06:07.382, 24.34 W, 43, 0 %, 6 MiB
0, 2023/04/24 12:07:07.397, 26.20 W, 45, 0 %, 550 MiB
1, 2023/04/24 12:07:07.424, 24.34 W, 43, 0 %, 6 MiB
0, 2023/04/24 12:08:07.433, 26.59 W, 45, 21 %, 704 MiB
1, 2023/04/24 12:08:07.455, 24.34 W, 43, 0 %, 6 MiB
0, 2023/04/24 12:09:07.469, 35.94 W, 48, 2 %, 900 MiB
1, 2023/04/24 12:09:07.472, 24.43 W, 43, 0 %, 6 MiB
0, 2023/04/24 12:10:07.476, 32.43 W, 47, 8 %, 880 MiB
1, 2023/04/24 12:10:07.479, 24.43 W, 43, 0 %, 6 MiB
