gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2024/03/14 00:00:01.914, 26.30 W, 47, 0 %, 1569 MiB
1, 2024/03/14 00:00:01.941, 34.28 W, 49, 0 %, 10007 MiB
0, 2024/03/14 00:01:01.948, 26.40 W, 47, 0 %, 1569 MiB
1, 2024/03/14 00:01:01.953, 34.28 W, 49, 0 %, 10007 MiB
0, 2024/03/14 00:02:01.956, 26.30 W, 47, 0 %, 1569 MiB
1, 2024/03/14 00:02:01.980, 34.28 W, 49, 0 %, 10007 MiB
0, 2024/03/14 00:03:01.986, 26.30 W, 47, 0 %, 1569 MiB
1, 2024/03/14 00:03:02.001, 34.28 W, 49, 0 %, 10007 MiB
0, 2024/03/14 00:04:02.006, 26.30 W, 47, 0 %, 1569 MiB
1, 2024/03/14 00:04:02.030, 34.19 W, 49, 0 %, 10007 MiB
0, 2024/03/14 00:05:02.035, 26.30 W, 47, 0 %, 1569 MiB
1, 2024/03/14 00:05:02.039, 34.19 W, 49, 0 %, 10007 MiB
0, 2024/03/14 00:06:02.045, 26.30 W, 48, 0 %, 1569 MiB
1, 2024/03/14 00:06:02.073, 34.28 W, 50, 0 %, 10007 MiB
0, 2024/03/14 00:07:02.076, 26.31 W, 48, 0 %, 1569 MiB
1, 2024/03/14 00:07:02.079, 34.19 W, 50, 0 %, 10007 MiB
0, 2024/03/14 00:08:02.083, 26.30 W, 47, 0 %, 1569 MiB
1, 2024/03/14 00:08:02.099, 34.28 W, 49, 0 %, 10007 MiB
0, 2024/03/14 00:09:02.101, 26.20 W, 47, 0 %, 1569 MiB
1, 2024/03/14 00:09:02.114, 34.09 W, 49, 0 %, 10007 MiB
0, 2024/03/14 00:10:02.118, 26.31 W, 47, 0 %, 1569 MiB
1, 2024/03/14 00:10:02.121, 34.28 W, 50, 0 %, 10007 MiB
0, 2024/03/14 00:11:02.124, 26.21 W, 47, 0 %, 1569 MiB
1, 2024/03/14 00:11:02.128, 34.28 W, 49, 0 %, 10007 MiB
0, 2024/03/14 00:12:02.130, 26.21 W, 47, 0 %, 1569 MiB
1, 2024/03/14 00:12:02.134, 34.38 W, 49, 0 %, 10007 MiB
0, 2024/03/14 00:13:02.137, 26.30 W, 48, 0 %, 1569 MiB
1, 2024/03/14 00:13:02.174, 34.28 W, 50, 0 %, 10007 MiB
0, 2024/03/14 00:14:02.180, 26.21 W, 47, 0 %, 1569 MiB
1, 2024/03/14 00:14:02.184, 34.28 W, 49, 0 %, 10007 MiB
0, 2024/03/14 00:15:02.187, 26.31 W, 48, 0 %, 1569 MiB
1, 2024/03/14 00:15:02.192, 34.19 W, 50, 0 %, 10007 MiB
0, 2024/03/14 00:16:02.195, 26.40 W, 48, 0 %, 1569 MiB
1, 2024/03/14 00:16:02.199, 34.38 W, 50, 0 %, 10007 MiB
0, 2024/03/14 00:17:02.202, 26.31 W, 48, 0 %, 1569 MiB
1, 2024/03/14 00:17:02.206, 34.48 W, 50, 0 %, 10007 MiB
0, 2024/03/14 00:18:02.208, 26.30 W, 48, 0 %, 1569 MiB
1, 2024/03/14 00:18:02.220, 34.38 W, 50, 0 %, 10007 MiB
0, 2024/03/14 00:19:02.225, 26.40 W, 48, 0 %, 1569 MiB
1, 2024/03/14 00:19:02.236, 34.38 W, 50, 0 %, 10007 MiB
0, 2024/03/14 00:20:02.241, 26.22 W, 48, 0 %, 1569 MiB
1, 2024/03/14 00:20:02.245, 34.38 W, 50, 0 %, 10007 MiB
