gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2024/06/21 00:00:01.124, 269.27 W, 89, 94 %, 22082 MiB
1, 2024/06/21 00:00:01.125, 274.39 W, 88, 100 %, 32480 MiB
0, 2024/06/21 00:01:01.127, 262.63 W, 89, 100 %, 22082 MiB
1, 2024/06/21 00:01:01.127, 277.06 W, 88, 100 %, 32480 MiB
0, 2024/06/21 00:02:01.128, 262.56 W, 89, 100 %, 22082 MiB
1, 2024/06/21 00:02:01.129, 279.61 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:03:01.130, 264.46 W, 89, 91 %, 22082 MiB
1, 2024/06/21 00:03:01.130, 284.99 W, 87, 96 %, 32480 MiB
0, 2024/06/21 00:04:01.132, 262.51 W, 89, 100 %, 22082 MiB
1, 2024/06/21 00:04:01.132, 280.80 W, 88, 100 %, 32480 MiB
0, 2024/06/21 00:05:01.133, 263.99 W, 89, 90 %, 22082 MiB
1, 2024/06/21 00:05:01.133, 284.55 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:06:01.134, 261.27 W, 88, 100 %, 22082 MiB
1, 2024/06/21 00:06:01.134, 283.85 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:07:01.135, 263.55 W, 89, 100 %, 22082 MiB
1, 2024/06/21 00:07:01.136, 285.58 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:08:01.137, 266.65 W, 88, 100 %, 22082 MiB
1, 2024/06/21 00:08:01.137, 281.39 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:09:01.138, 270.78 W, 89, 100 %, 22082 MiB
1, 2024/06/21 00:09:01.139, 283.86 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:10:01.139, 134.67 W, 80, 61 %, 22082 MiB
1, 2024/06/21 00:10:01.140, 288.43 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:11:01.141, 152.35 W, 81, 67 %, 22082 MiB
1, 2024/06/21 00:11:01.141, 280.08 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:12:01.142, 192.99 W, 84, 0 %, 22082 MiB
1, 2024/06/21 00:12:01.142, 281.99 W, 87, 98 %, 32480 MiB
0, 2024/06/21 00:13:01.144, 130.48 W, 85, 0 %, 22082 MiB
1, 2024/06/21 00:13:01.144, 291.74 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:14:01.145, 140.44 W, 87, 71 %, 22082 MiB
1, 2024/06/21 00:14:01.146, 281.27 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:15:01.147, 112.86 W, 83, 0 %, 22082 MiB
1, 2024/06/21 00:15:01.147, 277.99 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:16:01.148, 274.74 W, 87, 100 %, 22082 MiB
1, 2024/06/21 00:16:01.148, 281.75 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:17:01.150, 258.49 W, 90, 99 %, 22082 MiB
1, 2024/06/21 00:17:01.156, 284.52 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:18:01.157, 267.93 W, 90, 100 %, 22082 MiB
1, 2024/06/21 00:18:01.157, 287.50 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:19:01.158, 259.54 W, 88, 100 %, 22082 MiB
1, 2024/06/21 00:19:01.159, 281.30 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:20:01.160, 261.28 W, 88, 100 %, 22082 MiB
1, 2024/06/21 00:20:01.160, 274.93 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:21:01.161, 260.11 W, 89, 100 %, 22082 MiB
1, 2024/06/21 00:21:01.161, 285.25 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:22:01.162, 264.59 W, 89, 100 %, 22082 MiB
1, 2024/06/21 00:22:01.162, 279.14 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:23:01.163, 264.31 W, 89, 90 %, 22082 MiB
1, 2024/06/21 00:23:01.164, 278.27 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:24:01.165, 268.67 W, 89, 89 %, 22082 MiB
1, 2024/06/21 00:24:01.165, 282.23 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:25:01.167, 265.47 W, 89, 100 %, 22082 MiB
1, 2024/06/21 00:25:01.167, 279.60 W, 88, 100 %, 32480 MiB
0, 2024/06/21 00:26:01.169, 262.67 W, 89, 100 %, 22082 MiB
1, 2024/06/21 00:26:01.169, 285.82 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:27:01.170, 264.84 W, 88, 97 %, 22082 MiB
1, 2024/06/21 00:27:01.170, 291.95 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:28:01.172, 266.48 W, 89, 95 %, 22082 MiB
1, 2024/06/21 00:28:01.172, 289.28 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:29:01.173, 260.03 W, 89, 100 %, 22082 MiB
1, 2024/06/21 00:29:01.173, 291.15 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:30:01.174, 264.11 W, 89, 97 %, 22082 MiB
1, 2024/06/21 00:30:01.182, 276.56 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:31:01.184, 262.09 W, 89, 94 %, 22082 MiB
1, 2024/06/21 00:31:01.184, 276.12 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:32:01.186, 271.88 W, 89, 100 %, 22082 MiB
1, 2024/06/21 00:32:01.186, 281.16 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:33:01.187, 271.16 W, 88, 98 %, 22082 MiB
1, 2024/06/21 00:33:01.189, 289.61 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:34:01.190, 264.81 W, 89, 86 %, 22082 MiB
1, 2024/06/21 00:34:01.191, 285.79 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:35:01.192, 274.08 W, 89, 100 %, 22082 MiB
1, 2024/06/21 00:35:01.193, 275.59 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:36:01.194, 266.32 W, 89, 93 %, 22082 MiB
1, 2024/06/21 00:36:01.194, 279.22 W, 87, 94 %, 32480 MiB
0, 2024/06/21 00:37:01.196, 261.17 W, 89, 100 %, 22082 MiB
1, 2024/06/21 00:37:01.196, 289.04 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:38:01.197, 262.01 W, 87, 100 %, 22082 MiB
1, 2024/06/21 00:38:01.197, 284.25 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:39:01.198, 263.32 W, 89, 88 %, 22082 MiB
1, 2024/06/21 00:39:01.199, 280.30 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:40:01.200, 271.88 W, 89, 91 %, 22082 MiB
1, 2024/06/21 00:40:01.200, 282.01 W, 87, 94 %, 32480 MiB
0, 2024/06/21 00:41:01.201, 260.72 W, 88, 100 %, 22082 MiB
1, 2024/06/21 00:41:01.201, 282.63 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:42:01.203, 261.40 W, 88, 100 %, 22082 MiB
1, 2024/06/21 00:42:01.203, 280.21 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:43:01.204, 277.04 W, 89, 100 %, 22082 MiB
1, 2024/06/21 00:43:01.204, 281.81 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:44:01.205, 266.24 W, 89, 97 %, 22082 MiB
1, 2024/06/21 00:44:01.205, 287.78 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:45:01.206, 264.46 W, 89, 99 %, 22082 MiB
1, 2024/06/21 00:45:01.209, 284.36 W, 87, 100 %, 32480 MiB
0, 2024/06/21 00:46:01.211, 263.61 W, 89, 100 %, 22082 MiB
