NVIDIA-SMI has failed because it couldn't communicate with the NVIDIA driver. Make sure that the latest NVIDIA driver is installed and running.

gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2024/09/11 11:33:24.464, 6.15 W, 50, 0 %, 11 MiB
1, 2024/09/11 11:33:24.465, 6.90 W, 45, 0 %, 43 MiB
0, 2024/09/11 11:34:24.469, 17.10 W, 50, 0 %, 11 MiB
1, 2024/09/11 11:34:24.470, 18.00 W, 44, 0 %, 43 MiB
0, 2024/09/11 11:35:24.471, 18.08 W, 50, 0 %, 11 MiB
1, 2024/09/11 11:35:24.472, 19.16 W, 45, 0 %, 43 MiB
0, 2024/09/11 11:36:24.472, 16.46 W, 50, 0 %, 11 MiB
1, 2024/09/11 11:36:24.473, 18.14 W, 45, 0 %, 43 MiB
0, 2024/09/11 11:37:24.484, 73.94 W, 55, 0 %, 278 MiB
1, 2024/09/11 11:37:24.484, 21.23 W, 46, 0 %, 46 MiB
0, 2024/09/11 11:38:24.488, 16.79 W, 53, 0 %, 278 MiB
1, 2024/09/11 11:38:24.488, 18.12 W, 45, 0 %, 46 MiB
0, 2024/09/11 11:39:24.491, 269.78 W, 80, 89 %, 3994 MiB
1, 2024/09/11 11:39:24.492, 18.87 W, 45, 0 %, 46 MiB
0, 2024/09/11 11:40:24.494, 247.78 W, 87, 86 %, 3998 MiB
1, 2024/09/11 11:40:24.495, 25.58 W, 46, 0 %, 46 MiB
0, 2024/09/11 11:41:24.496, 228.95 W, 87, 73 %, 3998 MiB
1, 2024/09/11 11:41:24.497, 18.58 W, 46, 0 %, 46 MiB
0, 2024/09/11 11:42:24.498, 248.13 W, 87, 80 %, 3998 MiB
1, 2024/09/11 11:42:24.499, 18.68 W, 47, 0 %, 46 MiB
0, 2024/09/11 11:43:24.500, 258.17 W, 87, 84 %, 3998 MiB
1, 2024/09/11 11:43:24.501, 20.19 W, 48, 0 %, 46 MiB
0, 2024/09/11 11:44:24.502, 235.66 W, 86, 73 %, 3998 MiB
1, 2024/09/11 11:44:24.502, 18.90 W, 47, 0 %, 46 MiB
0, 2024/09/11 11:45:24.503, 146.31 W, 85, 0 %, 3998 MiB
1, 2024/09/11 11:45:24.504, 18.96 W, 48, 0 %, 46 MiB
0, 2024/09/11 11:46:24.510, 253.32 W, 87, 84 %, 3998 MiB
1, 2024/09/11 11:46:24.511, 20.15 W, 48, 0 %, 46 MiB
0, 2024/09/11 11:47:24.517, 266.20 W, 87, 87 %, 3998 MiB
1, 2024/09/11 11:47:24.517, 18.79 W, 48, 0 %, 46 MiB
0, 2024/09/11 11:48:24.522, 234.68 W, 86, 71 %, 3998 MiB
1, 2024/09/11 11:48:24.523, 19.93 W, 49, 1 %, 46 MiB
0, 2024/09/11 11:49:24.527, 261.16 W, 87, 80 %, 3998 MiB
1, 2024/09/11 11:49:24.528, 19.33 W, 49, 0 %, 46 MiB
0, 2024/09/11 11:50:24.531, 260.44 W, 87, 85 %, 3998 MiB
1, 2024/09/11 11:50:24.532, 18.83 W, 49, 0 %, 46 MiB
0, 2024/09/11 11:51:24.535, 239.52 W, 86, 74 %, 3998 MiB
1, 2024/09/11 11:51:24.536, 26.45 W, 49, 0 %, 46 MiB
0, 2024/09/11 11:52:24.539, 255.30 W, 87, 82 %, 3998 MiB
