index, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/03/20 00:00:01.213, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:00:01.214, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:01:01.216, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:01:01.218, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:02:01.219, 22.03 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:02:01.220, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:03:01.222, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:03:01.223, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:04:01.225, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:04:01.226, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:05:01.228, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:05:01.229, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:06:01.231, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:06:01.232, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:07:01.234, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:07:01.236, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:08:01.237, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:08:01.239, 1.07 W, 34, 1 %, 21 MiB
0, 2023/03/20 00:09:01.241, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:09:01.242, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:10:01.244, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:10:01.245, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:11:01.247, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:11:01.248, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:12:01.250, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:12:01.251, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:13:01.253, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:13:01.254, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:14:01.256, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:14:01.257, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:15:01.259, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:15:01.260, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:16:01.262, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:16:01.263, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:17:01.265, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:17:01.266, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:18:01.268, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:18:01.269, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:19:01.271, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:19:01.272, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:20:01.274, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:20:01.275, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:21:01.277, 22.03 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:21:01.278, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:22:01.280, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:22:01.281, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:23:01.283, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:23:01.284, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:24:01.286, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:24:01.287, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:25:01.289, 21.74 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:25:01.290, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:26:01.292, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:26:01.293, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:27:01.295, 21.93 W, 29, 0 %, 5 MiB
1, 2023/03/20 00:27:01.296, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:28:01.298, 21.84 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:28:01.299, 1.06 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:29:01.301, 21.93 W, 30, 0 %, 5 MiB
1, 2023/03/20 00:29:01.302, 1.07 W, 34, 0 %, 21 MiB
0, 2023/03/20 00:30:01.304, 21.93 W, 30, 0 %, 5 MiB
