gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2024/08/01 00:00:01.463, 22.03 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:00:01.464, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:01:01.466, 21.85 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:01:01.467, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:02:01.469, 22.14 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:02:01.470, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:03:01.472, 22.04 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:03:01.473, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:04:01.475, 21.94 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:04:01.476, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:05:01.478, 22.13 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:05:01.479, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:06:01.480, 22.13 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:06:01.482, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:07:01.483, 21.94 W, 32, 0 %, 5 MiB
1, 2024/08/01 00:07:01.485, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:08:01.486, 22.04 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:08:01.488, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:09:01.489, 22.04 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:09:01.491, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:10:01.492, 22.04 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:10:01.494, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:11:01.495, 22.04 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:11:01.497, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:12:01.498, 22.04 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:12:01.500, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:13:01.501, 22.04 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:13:01.506, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:14:01.508, 22.33 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:14:01.509, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:15:01.511, 21.94 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:15:01.512, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:16:01.514, 21.94 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:16:01.515, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:17:01.517, 22.04 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:17:01.518, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:18:01.520, 22.23 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:18:01.521, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:19:01.523, 21.94 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:19:01.524, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:20:01.526, 22.04 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:20:01.527, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:21:01.528, 22.13 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:21:01.530, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:22:01.531, 22.23 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:22:01.533, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:23:01.534, 22.04 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:23:01.535, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:24:01.537, 22.14 W, 32, 0 %, 5 MiB
1, 2024/08/01 00:24:01.538, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:25:01.540, 21.94 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:25:01.541, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:26:01.543, 22.13 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:26:01.544, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:27:01.546, 22.04 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:27:01.547, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:28:01.549, 22.13 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:28:01.550, 1.16 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:29:01.552, 22.04 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:29:01.553, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:30:01.555, 22.13 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:30:01.556, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:31:01.558, 22.14 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:31:01.559, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:32:01.561, 22.04 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:32:01.562, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:33:01.564, 22.04 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:33:01.565, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:34:01.567, 21.94 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:34:01.568, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:35:01.570, 22.13 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:35:01.571, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:36:01.572, 22.04 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:36:01.574, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:37:01.575, 22.13 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:37:01.577, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:38:01.578, 22.13 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:38:01.580, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:39:01.581, 22.04 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:39:01.582, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:40:01.584, 22.04 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:40:01.585, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:41:01.587, 21.94 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:41:01.588, 1.22 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:42:01.590, 21.94 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:42:01.591, 1.17 W, 38, 0 %, 21 MiB
0, 2024/08/01 00:43:01.593, 21.94 W, 33, 0 %, 5 MiB
1, 2024/08/01 00:43:01.594, 1.17 W, 38, 0 %, 21 MiB
