index, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2023/03/16 00:00:03.912, 257.11 W, 63, 100 %, 4464 MiB
0, 2023/03/16 00:01:03.913, 260.03 W, 63, 100 %, 4464 MiB
0, 2023/03/16 00:02:03.915, 257.10 W, 63, 100 %, 4464 MiB
0, 2023/03/16 00:03:03.917, 273.70 W, 64, 100 %, 4394 MiB
0, 2023/03/16 00:04:03.918, 267.31 W, 64, 100 %, 4381 MiB
0, 2023/03/16 00:05:03.920, 263.20 W, 64, 100 %, 4383 MiB
0, 2023/03/16 00:06:03.921, 260.99 W, 63, 100 %, 4385 MiB
0, 2023/03/16 00:07:03.923, 266.90 W, 64, 100 %, 4385 MiB
0, 2023/03/16 00:08:03.925, 259.69 W, 63, 100 %, 4385 MiB
0, 2023/03/16 00:09:03.926, 264.06 W, 64, 100 %, 4385 MiB
0, 2023/03/16 00:10:03.928, 257.97 W, 62, 100 %, 4385 MiB
0, 2023/03/16 00:11:03.929, 263.14 W, 63, 100 %, 4385 MiB
0, 2023/03/16 00:12:03.931, 260.71 W, 62, 96 %, 4385 MiB
0, 2023/03/16 00:13:03.941, 259.32 W, 62, 100 %, 4366 MiB
0, 2023/03/16 00:14:03.944, 259.87 W, 62, 100 %, 4368 MiB
0, 2023/03/16 00:15:03.946, 258.52 W, 62, 100 %, 4368 MiB
0, 2023/03/16 00:16:03.948, 257.74 W, 63, 100 %, 4368 MiB
0, 2023/03/16 00:17:03.953, 257.56 W, 62, 100 %, 4368 MiB
0, 2023/03/16 00:18:03.955, 259.83 W, 63, 100 %, 4368 MiB
0, 2023/03/16 00:19:03.956, 259.91 W, 63, 100 %, 4368 MiB
0, 2023/03/16 00:20:03.958, 263.33 W, 63, 100 %, 4368 MiB
0, 2023/03/16 00:21:03.959, 264.75 W, 63, 100 %, 4403 MiB
0, 2023/03/16 00:22:03.970, 258.82 W, 64, 100 %, 4381 MiB
0, 2023/03/16 00:23:03.971, 258.43 W, 64, 100 %, 4350 MiB
0, 2023/03/16 00:24:03.972, 262.35 W, 64, 100 %, 4377 MiB
0, 2023/03/16 00:25:03.974, 256.35 W, 64, 100 %, 4397 MiB
0, 2023/03/16 00:26:03.975, 259.42 W, 63, 100 %, 4398 MiB
0, 2023/03/16 00:27:03.977, 265.44 W, 64, 100 %, 4407 MiB
0, 2023/03/16 00:28:03.979, 256.07 W, 64, 100 %, 4388 MiB
0, 2023/03/16 00:29:03.980, 255.46 W, 63, 100 %, 4388 MiB
0, 2023/03/16 00:30:03.983, 256.17 W, 63, 100 %, 4389 MiB
0, 2023/03/16 00:31:03.984, 255.39 W, 63, 100 %, 4398 MiB
0, 2023/03/16 00:32:03.987, 257.14 W, 63, 100 %, 4402 MiB
0, 2023/03/16 00:33:03.988, 257.68 W, 63, 100 %, 4379 MiB
0, 2023/03/16 00:34:03.989, 259.15 W, 63, 100 %, 4380 MiB
0, 2023/03/16 00:35:03.991, 264.67 W, 64, 100 %, 4385 MiB
0, 2023/03/16 00:36:03.993, 264.48 W, 64, 100 %, 4388 MiB
0, 2023/03/16 00:37:03.998, 264.92 W, 64, 100 %, 4390 MiB
0, 2023/03/16 00:38:04.000, 262.05 W, 63, 100 %, 4390 MiB
0, 2023/03/16 00:39:04.001, 257.96 W, 64, 100 %, 4390 MiB
0, 2023/03/16 00:40:04.003, 264.24 W, 63, 100 %, 4390 MiB
0, 2023/03/16 00:41:04.005, 259.08 W, 63, 100 %, 4390 MiB
0, 2023/03/16 00:42:04.007, 261.79 W, 63, 100 %, 4390 MiB
0, 2023/03/16 00:43:04.009, 261.68 W, 64, 100 %, 4390 MiB
0, 2023/03/16 00:44:04.010, 270.98 W, 64, 100 %, 4378 MiB
0, 2023/03/16 00:45:04.011, 258.10 W, 63, 100 %, 4360 MiB
0, 2023/03/16 00:46:04.013, 256.79 W, 63, 100 %, 4343 MiB
0, 2023/03/16 00:47:04.015, 266.55 W, 63, 100 %, 4393 MiB
0, 2023/03/16 00:48:04.025, 253.11 W, 62, 100 %, 4397 MiB
0, 2023/03/16 00:49:04.026, 259.21 W, 62, 100 %, 4398 MiB
0, 2023/03/16 00:50:04.028, 266.74 W, 63, 100 %, 4367 MiB
0, 2023/03/16 00:51:04.029, 253.53 W, 63, 100 %, 4360 MiB
0, 2023/03/16 00:52:04.031, 254.05 W, 62, 100 %, 4360 MiB
0, 2023/03/16 00:53:04.033, 255.77 W, 62, 100 %, 4388 MiB
0, 2023/03/16 00:54:04.034, 255.37 W, 63, 100 %, 4399 MiB
0, 2023/03/16 00:55:04.036, 254.86 W, 63, 100 %, 4403 MiB
0, 2023/03/16 00:56:04.037, 257.69 W, 63, 100 %, 4370 MiB
0, 2023/03/16 00:57:04.039, 258.71 W, 63, 100 %, 4354 MiB
0, 2023/03/16 00:58:04.041, 261.35 W, 64, 100 %, 4386 MiB
0, 2023/03/16 00:59:04.042, 265.46 W, 64, 100 %, 4391 MiB
0, 2023/03/16 01:00:04.044, 262.09 W, 64, 100 %, 4393 MiB
0, 2023/03/16 01:01:04.045, 259.74 W, 64, 100 %, 4393 MiB
0, 2023/03/16 01:02:04.047, 260.99 W, 63, 100 %, 4393 MiB
0, 2023/03/16 01:03:04.049, 255.12 W, 62, 99 %, 4393 MiB
0, 2023/03/16 01:04:04.050, 257.38 W, 62, 99 %, 4393 MiB
0, 2023/03/16 01:05:04.052, 255.95 W, 62, 97 %, 4393 MiB
0, 2023/03/16 01:06:04.053, 264.27 W, 63, 100 %, 4393 MiB
0, 2023/03/16 01:07:04.056, 264.40 W, 63, 100 %, 4401 MiB
0, 2023/03/16 01:08:04.057, 258.18 W, 63, 100 %, 4372 MiB
0, 2023/03/16 01:09:04.058, 257.91 W, 64, 100 %, 4355 MiB
