gpuid, timestamp, power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
0, 2024/02/24 00:00:01.445, 31.07 W, 33, 0 %, 23421 MiB
0, 2024/02/24 00:01:01.448, 31.57 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:02:01.451, 31.46 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:03:01.454, 31.14 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:04:01.456, 30.84 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:05:01.459, 31.40 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:06:01.462, 30.70 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:07:01.466, 30.80 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:08:01.469, 30.50 W, 33, 0 %, 23421 MiB
0, 2024/02/24 00:09:01.472, 30.69 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:10:01.475, 30.93 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:11:01.478, 30.93 W, 33, 0 %, 23421 MiB
0, 2024/02/24 00:12:01.481, 30.79 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:13:01.484, 30.78 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:14:01.487, 31.32 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:15:01.490, 31.09 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:16:01.492, 31.49 W, 33, 0 %, 23421 MiB
0, 2024/02/24 00:17:01.496, 31.21 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:18:01.499, 30.66 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:19:01.502, 31.42 W, 33, 0 %, 23421 MiB
0, 2024/02/24 00:20:01.504, 31.14 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:21:01.508, 31.31 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:22:01.510, 29.87 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:23:01.514, 31.09 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:24:01.517, 30.78 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:25:01.519, 30.82 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:26:01.522, 31.30 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:27:01.526, 30.89 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:28:01.529, 31.41 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:29:01.532, 31.04 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:30:01.535, 30.38 W, 33, 0 %, 23421 MiB
0, 2024/02/24 00:31:01.538, 30.37 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:32:01.541, 30.79 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:33:01.544, 30.43 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:34:01.547, 31.17 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:35:01.550, 31.01 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:36:01.554, 30.87 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:37:01.557, 31.10 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:38:01.560, 30.67 W, 33, 0 %, 23421 MiB
0, 2024/02/24 00:39:01.563, 31.17 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:40:01.566, 31.56 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:41:01.569, 30.86 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:42:01.572, 30.09 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:43:01.575, 30.44 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:44:01.578, 31.03 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:45:01.580, 30.84 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:46:01.584, 29.93 W, 33, 0 %, 23421 MiB
0, 2024/02/24 00:47:01.587, 30.32 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:48:01.591, 30.27 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:49:01.594, 29.53 W, 33, 0 %, 23421 MiB
0, 2024/02/24 00:50:01.597, 30.84 W, 34, 0 %, 23421 MiB
0, 2024/02/24 00:51:01.600, 30.73 W, 34, 0 %, 23421 MiB
